path,collection,edition,series,filename
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/19-Alkmaar-4.jpg,waterstaatskaarten,1e,eerste-editie,19-Alkmaar-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/20-Enkhuizen-1.jpg,waterstaatskaarten,1e,eerste-editie,20-Enkhuizen-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/20-Enkhuizen-2.jpg,waterstaatskaarten,1e,eerste-editie,20-Enkhuizen-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/21-Zwolle-1.jpg,waterstaatskaarten,1e,eerste-editie,21-Zwolle-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/21-Zwolle-2.jpg,waterstaatskaarten,1e,eerste-editie,21-Zwolle-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/21-Zwolle-3.jpg,waterstaatskaarten,1e,eerste-editie,21-Zwolle-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/21-Zwolle-4.jpg,waterstaatskaarten,1e,eerste-editie,21-Zwolle-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/22-Coevorden-1.jpg,waterstaatskaarten,1e,eerste-editie,22-Coevorden-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/22-Coevorden-2.jpg,waterstaatskaarten,1e,eerste-editie,22-Coevorden-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/22-Coevorden-3.jpg,waterstaatskaarten,1e,eerste-editie,22-Coevorden-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/22-Coevorden-4.jpg,waterstaatskaarten,1e,eerste-editie,22-Coevorden-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/23-Nieuw-Schoonebeek.jpg,waterstaatskaarten,1e,eerste-editie,23-Nieuw-Schoonebeek
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/24-Hillegom-1.jpg,waterstaatskaarten,1e,eerste-editie,24-Hillegom-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/24-Hillegom-2.jpg,waterstaatskaarten,1e,eerste-editie,24-Hillegom-2
